deleted network stats,12-12-2022_20:28:36
#################### NETWORK STATS 12/12/2022 20:26:50 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 12/12/2022 20:26:51 ####################
Sent,0.044921875 MB
Received,0.064453125 MB
#################### NETWORK STATS 12/12/2022 20:26:52 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 12/12/2022 20:26:54 ####################
Sent,3.4580078125 MB
Received,0.6025390625 MB
#################### NETWORK STATS 12/12/2022 20:26:55 ####################
Sent,20.26171875 MB
Received,1387.494140625 MB
#################### NETWORK STATS 12/12/2022 20:26:56 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 12/12/2022 20:26:57 ####################
Sent,1.3310546875 MB
Received,1.005859375 MB
#################### NETWORK STATS 12/12/2022 20:26:59 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 12/12/2022 20:27:00 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 12/12/2022 20:27:01 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 12/12/2022 20:27:03 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 12/12/2022 20:27:04 ####################
Sent,0.052734375 MB
Received,0.052734375 MB
#################### NETWORK STATS 12/12/2022 20:27:05 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 12/12/2022 20:27:06 ####################
Sent,0.107421875 MB
Received,0.064453125 MB
#################### NETWORK STATS 12/12/2022 20:27:08 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 12/12/2022 20:27:09 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 12/12/2022 20:27:10 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 12/12/2022 20:27:11 ####################
Sent,0.294921875 MB
Received,0.3701171875 MB
#################### NETWORK STATS 12/12/2022 20:27:13 ####################
Sent,0.10546875 MB
Received,0.1767578125 MB
